word;tag;freq_A1;freq_A2;freq_B1;freq_B2;freq_C1;freq_C2
activement;ADV;0.0;0.0;0.2331;0.0;6.0005;0.0
activer;VER;0.0;0.1865;0.3906;0.0;0.0;19.328
activisme;NOM;0.0;0.0;0.0;0.0;0.0;12.833
activité;NOM;106.1098;163.7086;253.1438;113.3464;301.0502;1304.6722
actualiser;VER;0.0;0.0;0.0;2.2839;0.0;0.0
actualité;NOM;7.9597;4.5743;26.5254;14.4824;29.205;78.971
actuel;ADJ;1.1764;129.6377;86.0828;55.415;219.9849;183.2011
actuellement;ADV;24.1735;38.6192;58.7752;8.3751;175.0335;77.4712
acétylcholine;NOM;0.0;0.0;0.0;0.0;0.0;19.328
ad;ADV;0.0;0.0;0.0;2.2839;0.0;0.0
adage;NOM;0.0;0.0;0.0;2.2839;4.139;0.0
adaptable;ADJ;0.0;1.2121;0.0;0.0;0.0;0.0
adaptation;NOM;0.0;30.4947;10.7081;0.0;10.3269;19.328
adapter;VER;16.8508;44.2811;28.6251;36.7047;104.5381;111.7223
additif;NOM;0.0;0.0;0.0;0.0;6.0005;0.0
addition;NOM;17.9761;9.0157;0.6378;0.0;51.9203;0.0
adduction;NOM;0.0;0.0;0.0;0.8102;0.0;0.0
adepte;NOM;0.0;4.4769;6.6448;2.2839;12.0009;0.0
adhérent;NOM;0.9464;0.0;12.4533;1.2705;10.3269;0.0
adhérent;ADJ;0.0;0.0;0.6378;0.0;0.0;0.0
adhérer;VER;0.0;0.0;23.6674;0.911;3.4423;8.037
adhésif;ADJ;0.0;0.0;0.0;0.0;18.0014;0.0
adhésion;NOM;0.0;0.0;19.2876;0.0;31.5653;38.656
adieu;NOM;0.0;9.8283;35.2953;0.0;6.0005;0.0
adieu;INT;0.8346;0.186;7.3854;0.911;0.0;0.0
adjoindre;VER;0.0;0.0;0.3906;2.5411;6.0005;25.6659
adjoint;NOM;0.0;0.0;0.3906;0.0;0.0;12.833
adjudant;NOM;0.0;0.0;3.005;0.0;0.0;0.0
adjuger;VER;0.0;0.0;0.4665;0.0;0.0;0.0
adjurer;VER;0.0;0.0;0.0;0.0;19.861;0.0
adjuvant;NOM;0.0;0.0;0.185;0.0;0.0;0.0
admettre;VER;0.0;4.4863;37.2467;21.1206;24.0018;134.1811
administrateur;NOM;0.0;0.0;0.0;2.2839;0.0;0.0
administratif;ADJ;11.1685;0.6008;34.0083;18.183;4.139;133.8419
administration;NOM;5.1048;4.7328;26.1829;2.2839;172.9276;192.6297
administrer;VER;0.0;0.0;0.0;9.1403;31.3781;0.0
admirable;ADJ;7.8018;0.606;3.6369;4.5679;0.0;0.0
admirablement;ADV;0.0;0.0;0.4665;0.0;0.0;0.0
admirateur;NOM;1.6151;0.4664;7.1001;0.0;0.0;0.0
admiratif;ADJ;0.0;0.0;0.0;0.0;6.0005;0.0
admiration;NOM;1.1123;0.6228;6.6448;38.2775;6.8846;0.0
admirer;VER;81.6639;12.8094;43.6048;48.8847;31.3528;0.0
admission;NOM;0.0;0.0;0.438;0.0;0.0;0.0
ado;NOM;7.387;0.0;0.0;0.0;4.139;0.0
adolescence;NOM;0.0;0.606;10.079;0.0;6.0005;0.0
adolescent;NOM;20.0853;39.6058;43.6518;51.9016;63.3793;12.833
adolescent;ADJ;1.1556;3.7272;3.7375;2.2839;4.139;0.0
